Time,ajankaytto,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus,mita_opin,vapaa_palaute
2016-04-26 12:49:36.209484+00:00,2,2,2,1,2,3,3,3,"Opin käyttämään turtle-ohjelmaa. Ohjelman alkeet olivat mukavan yksinkertaiset.",""
2016-04-24 19:58:23.196093+00:00,3,2,2,2,2,3,2,3,"Hyvät perusteet kilpparin liikuttelulle. Kivasti sovellettavissa opetukseen.",""
2016-04-24 10:42:51.151195+00:00,2,2,2,2,2,3,4,3,"Opin piirtämään kuvioita käyttäen listaa ja siinä range-funktiota toistuvien kuvioiden piirtämiseen eri kokoisina. Lisäksi tutustuin erilaisiin kynä- ja värityökaluihin.","Mukava työ. Tuo sopivasti vaihtelua täsmälliseen koodaustehtävään."
2016-04-24 06:13:05.334392+00:00,2,2,2,2,2,3,3,3,"Kuinka kivaa konnagrafiikka on. ","Inhimillinen jakso verrattuna edeliseen ;)"
2016-04-23 21:56:34.475848+00:00,4,2,2,2,2,2,1,2,"Palasin muistoissani yli 20 vuoden taakse, kun yläasteen mikroluokassa Logoiltiin linnunpönttömallin Maceilla.
2016-04-23 10:00:11.559678+00:00,2,2,2,2,2,2,2,2,"",""
2016-04-22 15:33:35.432665+00:00,2,2,2,2,2,3,3,3,"",""
2016-04-21 06:03:44.404899+00:00,3,2,3,2,3,2,2,2,"",""
2016-04-20 13:58:35.433943+00:00,0,2,2,2,2,2,2,2,"Racket Turtlen kanssa oli todella kivaa.",""
2016-04-19 15:58:06.603361+00:00,3,2,2,2,2,2,3,2,"turtle piirroksia, listan käyttöä",""
2016-04-19 15:45:16.703129+00:00,2,2,2,2,2,3,3,3,"Turtle-konnan kiemurtelua",""
2016-04-17 19:08:21.368689+00:00,1,2,2,2,2,2,2,2,"",""
2016-04-17 19:07:37.453799+00:00,2,2,2,2,2,4,4,4,"",""
2016-04-17 12:46:29.927761+00:00,0,2,2,2,2,3,3,3,"Tein ensimmäiset turtlejuttuni","Tämä ol kivaa"
2016-04-14 19:33:31.718736+00:00,2,2,2,2,2,4,4,4,"Opin piirtämään paljon erilaisia kuvioita ja sain paljon ideoita geometrian aiheisiin oppilaille.","Varmasti oppilaille mieluisia hommia, kun perusjutut ovat suht simppeleitä."
2016-04-14 18:58:48.370704+00:00,2,2,2,2,2,2,4,2,"Käyttämään lisää listoja. Ymmärsin niiden toimintaa myös hieman edellistä jaksoa paremmin.","Mukavia harjoitustehtäviä!"
2016-04-14 15:16:11.457029+00:00,5,2,2,2,2,3,3,3,"- oppilaita innostavaa koodausta",""
2016-04-13 17:09:43.936608+00:00,4,2,2,3,3,3,3,3,"Turtle grafiikka on juttu, jota opiskeli innoissaan. Tätä voi ehdottomasti hyödyntää oppilaiden kanssa (jotka siis ovat asiassa varmasti ihan huippuja ja luovia). Monia asioita aion esimerkkien avulla vielä kokeilla ja opiskella lisääkin.","Paljon asiaa, mutta selkeät malliratkaisut ja videot auttoivat. Kiitos jälleen."
2016-04-13 15:59:13.565143+00:00,0,2,2,2,2,3,3,3,"",""
2016-04-13 15:27:55.738817+00:00,3,2,2,2,2,4,4,4,"Racket Turtlen käyttöä ja High Order-funktioiden käyttöä.",""
2016-04-12 19:38:46.362374+00:00,3,3,3,2,2,2,2,2,"Käyttämään turtle-kirjastoa ja muodostamaan sen avulla kuvioita. Tutustuin mm. map-komentoon.","Perusidea aukesi ihan hyvin, mutta monimutkaisemmat komennot/harjoitustehtävät eivät. Ehkä jotain lisämateriaalia olisi vielä voinut olla tai enemmän esimerkkejä. Oli vaikeaa soveltaa asiaa omaan palautettavaan tehtävään."
2016-04-12 14:36:25.108505+00:00,2,2,2,2,2,3,3,3,"Tekemään hienoja geometrisia kuvioita uusia komentoja käyttäen.",""
2016-04-12 06:52:25.243633+00:00,3,2,1,2,2,3,3,3,"","Eipä tässä kauheasti olisi tarvinnut ponnistella, jos olisi mennyt sieltä, mistä aita on matalin. Tein kuitenkin jotain mielenkiintoista ihan vaan harjoittelun vuoksi."
2016-04-10 17:58:08.891746+00:00,1,2,2,2,2,3,3,3,"Ohjailemaan turtlea ja soveltamaan siihen listoja sekä higher order funktioita.","Mukava että viimeinen koodaustehtävä oli hauska ja suht helppokin!"
2016-04-10 15:36:47.017983+00:00,3,2,2,2,2,3,3,3,"",""
2016-04-10 15:16:07.149514+00:00,0,2,2,2,2,2,2,2,"Piirtämään peruskuvioita Turtlen avulla.","Oli kiva, että palautettava tehtävä sai olla helppo tai monimutkaisempi oman valinnan mukaan"
2016-04-10 09:48:09.604569+00:00,2,2,2,2,2,3,3,3,"Käyttämään Racket Turtlea ja hyödyntämään High Order -funktioita.","Tämä tuntui helpommalta kuin pari viime kertaa. "
2016-04-09 15:56:07.203067+00:00,2,3,3,3,3,2,2,2,"",""
