Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
13.10.2015 klo 11.01.04	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6), Racket (7-9)	Olen luokanopettaja	ScratchJr, Scratch, Lego RXT, NXT tai EV3, Picaxe Basic	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	Käytän niin paljon kuin se vaatii	Mies	25-35	Sijainen, määräaikainen (opettaja)	Lempäälä
13.10.2015 klo 11.47.34	#N/A	Uusimaa	Yliopisto	En	En tiedä vielä	Fysiikka ja/tai kemia	Python, C/C++, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Mies	36-45	Vakinainen työsuhde (opettaja)	Espoo
13.10.2015 klo 12.09.30	#N/A	Pohjois-Pohjanmaa	Ammattikorkeakoulu, TVT-kouluttaja kohderyhmänä perus- ja lukioasteen opettajat	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Tietotekniikka	Scratch, JavaScript, C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS, ColdFusion, SQL	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Oulu
13.10.2015 klo 12.29.06	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6), En tiedä vielä	Tietotekniikka, TVT	ScratchJr, Scratch, Code.org, Hopscotch, Lego RXT, NXT tai EV3, Logo	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10), Vedän ohjelmointikerhoa	1-2h	Mies	Yli 55	Vakinainen työsuhde (opettaja)	
13.10.2015 klo 13.49.22	#N/A	Keski-Suomi	opiskelen lapsenlapsen kanssa	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2)	eläkkeellä oppiaine elämä	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	eläkkeellä entinen opettaja	
13.10.2015 klo 13.49.33	#N/A	Etelä-Savo	Perusopetus luokat 3-6	En	En tiedä vielä		En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	koulunkäynninohjaaja	Savonlinna
13.10.2015 klo 14.17.55	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
13.10.2015 klo 15.35.48	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä, Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Oulu
13.10.2015 klo 15.40.33	#N/A	Uusimaa	Vapaa sivistystyö	En	Racket (7-9)		ScratchJr, Lego RXT, NXT tai EV3, Java, Basic (Visual, Cool, tms), HTML, CSS, stencyl	Vedän ohjelmointikerhoa	2-3h	Nainen	25-35	vakinainen, nuoriso-ohjaaja	
13.10.2015 klo 16.01.48	116	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	Alle 25	Sijainen, määräaikainen (opettaja)	Oulainen
