Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
6.10.2015 klo 23.36.27	#N/A	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET	ScratchJr, Code.org, Basic (Visual, Cool, tms)	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Espoo
7.10.2015 klo 5.42.35	#N/A	Etelä-Karjala	Perusopetus luokat 1-2	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja		En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Lappeenranta
7.10.2015 klo 6.38.34	#N/A	Etelä-Pohjanmaa	Ammattillinen koulutus	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Tietotekniikka	Scratch, Code.org, Turtle Roy	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Nainen	36-45	Muu	
7.10.2015 klo 7.04.38	#N/A	Pohjois-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	Scratch, Code.org, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä, En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	3-5h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kuopio
7.10.2015 klo 7.15.43	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, C/C++, Java, Processing, HTML, CSS, PHP	Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Mies	36-45	Vakinainen työsuhde (opettaja)	Helsinki
7.10.2015 klo 7.15.46	#N/A	Pirkanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka	Pascal -80 luvulla	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Lempäälä
7.10.2015 klo 7.20.51	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET, Käsityö, Liikunta	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Akaa
7.10.2015 klo 7.26.15	#N/A	Satakunta	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Pori
7.10.2015 klo 7.31.40	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	En tiedä vielä	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Oulu
7.10.2015 klo 7.36.40	#N/A	Pohjois-Pohjanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Opiskelija (opettajaksi valmistuva)	
7.10.2015 klo 7.49.11	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Käsityö, Musiikki, Liikunta	Scratch, Hopscotch	Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Nurmijärvi
7.10.2015 klo 7.58.28	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	25-35	Muu	
7.10.2015 klo 8.03.59	#N/A	Muualla	Perusopetus luokat 3-6	En	En tiedä vielä	Äidinkieli ja kirjallisuus	Java	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Helsinki
7.10.2015 klo 8.10.13	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Kuusamo
7.10.2015 klo 8.17.55	#N/A	Keski-Pohjanmaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	En tiedä vielä	Olen luokanopettaja, Biologia ja/tai maantieto	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Veteli
7.10.2015 klo 8.26.17	#N/A	Kymenlaakso	Kansalaisopisto	En	En tiedä vielä	Tietotekniikka	C/C++, Java, C#, HTML, CSS	kotisivut html	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kotka
7.10.2015 klo 8.51.30	#N/A	Lappi	Ammattillinen koulutus, Lukio	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Äidinkieli ja kirjallisuus, Matematiikka, Tietotekniikka, Taloushallinto	Basic (Visual, Cool, tms), HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Tornio ja Kolari
7.10.2015 klo 8.56.43	#N/A	Varsinais-Suomi	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Kielet	Scratch, Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Turku
7.10.2015 klo 9.02.19	#N/A	Varsinais-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Km	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Raasepori
7.10.2015 klo 9.07.44	1	Keski-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Kaustinen
7.10.2015 klo 9.19.46	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Kielet	ScratchJr	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Oulunsalo
7.10.2015 klo 9.29.19	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6), Racket (7-9)	Olen luokanopettaja	Basic (Visual, Cool, tms), HTML, CSS, Cobol	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Mies	46-55	Vakinainen työsuhde (opettaja)	Jämsä
7.10.2015 klo 9.36.36	#N/A	Etelä-Pohjanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Parkano
7.10.2015 klo 9.39.04	#N/A	Satakunta	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Pori
7.10.2015 klo 9.44.29	188	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Kielet	JavaScript, Basic (Visual, Cool, tms), HTML, CSS	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Helsinki
7.10.2015 klo 10.02.10	#N/A	Etelä-Savo	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Turbo Pascal v. 1991	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	46-55	Vakinainen työsuhde (opettaja)	Savonlinna
7.10.2015 klo 10.17.31	#N/A	Varsinais-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	Kyllä, mutta olen jättänyt kesken	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	Alle 25	Opiskelija (opettajaksi valmistuva)	
7.10.2015 klo 10.22.34	#N/A	Kymenlaakso	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6), En tiedä vielä	Olen luokanopettaja, Musiikki	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Muu	
7.10.2015 klo 10.25.29	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Kuusamo
7.10.2015 klo 10.27.54	#N/A	Keski-Suomi	en opeta nyt	En	En tiedä vielä	aikuisopetus	Lego RXT, NXT tai EV3, JavaScript, Python, C/C++, Java, Processing, C#, Logo, Basic (Visual, Cool, tms), HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Mies	36-45	Muu	
7.10.2015 klo 10.28.22	#N/A	Uusimaa	Lukio, Yliopisto	Kyllä, mutta olen jättänyt kesken	Racket (7-9)	Matematiikka	JavaScript, Python, C/C++, Java, Processing	Olemme ohjelmoineet muutamia tunteja (alle 10), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Mies	25-35	Opiskelija (opettajaksi valmistuva)	
7.10.2015 klo 10.55.20	#N/A	Pirkanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Lempäälä
7.10.2015 klo 10.57.02	#N/A	Uusimaa	Perusopetus luokat 7-9	Kyllä, mutta olen jättänyt kesken	En tiedä vielä	Biologia ja/tai maantieto, Kotitalous	ScratchJr, Scratch, Racket, Code.org, Java, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Helsinki
7.10.2015 klo 11.04.58	#N/A	Varsinais-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Turku
7.10.2015 klo 11.10.38	#N/A	Uusimaa	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch	Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Espoo
7.10.2015 klo 11.12.55	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En tiedä	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	Scratch, Picaxe Basic	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Ylivieska
7.10.2015 klo 11.31.06	#N/A	Uusimaa		En	ScratchJr (E-2), Scratch (3-6), Racket (7-9), En tiedä vielä		JavaScript, C/C++, Logo, Basic (Visual, Cool, tms), HTML, CSS	-	Käytän niin paljon kuin se vaatii	Nainen	46-55	Työtön, ei työelämässä	
7.10.2015 klo 12.07.31	#N/A	Uusimaa	Esiopetus	En	ScratchJr (E-2), Scratch (3-6)	S2 + eskariopettaja	Turtle Roy	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kerava
7.10.2015 klo 12.28.08	#N/A	Varsinais-Suomi	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	pascal	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lieto
7.10.2015 klo 12.41.29	#N/A	Varsinais-Suomi	Perusopetus luokat 7-9	En	Racket (7-9)	Olen avustaja	JavaScript, Java, Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Muu	Loimaa
7.10.2015 klo 13.03.32	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	ScratchJr, Code.org, Lego RXT, NXT tai EV3, pascal	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
7.10.2015 klo 13.42.25	108	Varsinais-Suomi	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Raisio
7.10.2015 klo 13.45.46	#N/A	Kanta-Häme	Perusopetus luokat 3-6	En	Scratch (3-6)	Käsityö	Code.org	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Janakkala
7.10.2015 klo 13.47.38	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	C/C++, Basic (Visual, Cool, tms)	Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kuusamo
7.10.2015 klo 14.10.52	#N/A	Pirkanmaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9, Ammattillinen koulutus, Lukio	En	Racket (7-9)	Kielet	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Nokia
7.10.2015 klo 14.18.01	#N/A	Keski-Suomi	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen erityisopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Kuhmoinen
7.10.2015 klo 14.37.11	143	Varsinais-Suomi	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Logo	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Turku
7.10.2015 klo 14.37.46	#N/A	Muualla	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Terveystieto	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	
7.10.2015 klo 14.38.06	307	Pohjois-Savo	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	C/C++, Logo, Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kuopio
7.10.2015 klo 14.46.13	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Olen luokanopettaja, Olen erityisopettaja	Scratch	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Viitasaari
7.10.2015 klo 15.02.56	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, Code.org, Lego RXT, NXT tai EV3, JavaScript, Python, C/C++, Java, C#, Logo, Basic (Visual, Cool, tms), HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	0-1h	Mies	36-45	Vakinainen työsuhde (opettaja)	Oulu
7.10.2015 klo 15.43.16	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Käsityö, Musiikki	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Ylivieska
7.10.2015 klo 15.59.19	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	25-35	Vakinainen työsuhde (opettaja)	Tuusula
7.10.2015 klo 16.07.51	57	Satakunta	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka	Basic (Visual, Cool, tms), Pascal, Cobol	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Pori
7.10.2015 klo 16.32.31	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Oulu
7.10.2015 klo 16.39.26	#N/A	Kanta-Häme	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	C/C++, Basic (Visual, Cool, tms), HTML, CSS	GW-Basic, Turbo Pascal, ToolBook edellisen ohjelmointihuuman aikaan 1990-luvun alussa	Käytän niin paljon kuin se vaatii	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Riihimäki
7.10.2015 klo 17.07.19	#N/A	Etelä-Karjala	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Muu	
7.10.2015 klo 17.08.41	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen erityisopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kerava
7.10.2015 klo 17.19.52	241	Pirkanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Tampere
7.10.2015 klo 17.52.46	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	C/C++, Java	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Muhos
7.10.2015 klo 18.16.09	#N/A	Päijät-Häme	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Kerava
7.10.2015 klo 18.42.25	#N/A	Kanta-Häme	Perusopetus luokat 7-9	En	Racket (7-9)	Äidinkieli ja kirjallisuus	Java	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Forssa
7.10.2015 klo 18.45.34	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Hyvinkää
7.10.2015 klo 18.47.07	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Biologia ja/tai maantieto	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Opiskelija (opettajaksi valmistuva)	
7.10.2015 klo 18.52.49	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Helsinki
7.10.2015 klo 19.08.07	#N/A	Etelä-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kauhava
7.10.2015 klo 19.22.58	#N/A	Etelä-Pohjanmaa	Perusopetus luokat 1-2	En	En tiedä vielä	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Uskonto ja/tai ET, Käsityö, Kuvataide, Liikunta	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	46-55	Vakinainen työsuhde (opettaja)	Seinäjoki
7.10.2015 klo 19.29.01	231	Varsinais-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Code.org, Python	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	46-55	Sijainen, määräaikainen (opettaja)	Raisio
7.10.2015 klo 19.58.59	#N/A	Kanta-Häme	Perusopetus luokat 7-9	Kyllä, mutta olen jättänyt kesken	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Java, Logo, HTML, CSS, Kodu	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Hämeenlinna
7.10.2015 klo 20.01.31	#N/A	Kymenlaakso	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Kotka
7.10.2015 klo 20.23.19	#N/A	Pirkanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Olen luokanopettaja, Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, Code.org, Lego RXT, NXT tai EV3, Java, Flash 	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Vedän ohjelmointikerhoa	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Tampere
7.10.2015 klo 20.27.11	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Historia ja yhteiskuntaoppi, Terveystieto, Uskonto ja/tai ET, Käsityö, Kuvataide, Kotitalous, Liikunta	Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Espoo
7.10.2015 klo 20.34.42	#N/A	Uusimaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Racket (7-9)	Kielet	Scratch, Code.org, Java, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Hyvinkää
7.10.2015 klo 20.49.54	#N/A	Uusimaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	En tiedä vielä	Olen luokanopettaja, Käsityö	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Kerava
7.10.2015 klo 20.50.16	#N/A	Etelä-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	JavaScript, C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Mikkeli
7.10.2015 klo 20.53.59	#N/A	Lappi	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tornio
7.10.2015 klo 20.57.38	#N/A	Lappi	Perusopetus luokat 7-9	En	En tiedä vielä	Kielet	Scratch, Code.org, C/C++, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Rovaniemi
